repo link,lines,language
https://github.com/google/guava,372773,Java
https://github.com/voldemort/voldemort,238145,Java
https://github.com/roboguice/roboguice,94860,Java
https://github.com/klinker24/Talon-for-Twitter,76086,Java
https://github.com/google/protobuf,73232,Java
https://github.com/facebook/facebook-android-sdk,60158,Java
https://github.com/yusuke/twitter4j,56373,Java
https://github.com/Wizcorp/phonegap-facebook-plugin,54263,Java
https://github.com/antonkrasov/AndroidSocialNetworks,34175,Java
https://github.com/googlei18n/libphonenumber,22871,Java
https://github.com/sromku/android-simple-facebook,17703,Java
https://github.com/lintool/twitter-tools,11539,Java 
https://github.com/draios/sysdig,9454,Java
https://github.com/google/or-tools,7343,Java
https://github.com/minetest/minetest,607,Java
https://github.com/draios/sysdig,795824,C++ 
https://github.com/google/protobuf,188020,C++
https://github.com/google/or-tools,142876,C++
https://github.com/minetest/minetest,119315,C++
https://github.com/google/googletest,51472,C++
https://github.com/googlei18n/libphonenumber,45477,C++
https://github.com/google/leveldb,20175,C++
https://github.com/voldemort/voldemort,3551,C++
https://github.com/ruby/ruby,786319,Ruby
https://github.com/rails/rails,285272,Ruby
https://github.com/Homebrew/linuxbrew,175934,Ruby
https://github.com/sferik/twitter,12542,Ruby
https://github.com/arsduo/koala,7318,Ruby
https://github.com/google/protobuf,2420,Ruby
https://github.com/voldemort/voldemort,1773,Ruby
